"Produto"	"Valor da produção"	"0191 Agricultura, inclusive o apoio à agricultura e a pós-colheita"	"0192 Pecuária, inclusive o apoio à pecuária"	"0280 Produção florestal; pesca e aquicultura"	"0580 Extração de carvão mineral e de minerais não-metálicos"	"0680 Extração de petróleo e gás, inclusive as atividades de apoio"	"0791 Extração de minério de ferro, inclusive beneficiamentos e a aglomeração"	"0792 Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos"	"1091 Abate e produtos de carne, inclusive os produtos do laticínio e da pesca"	"1092 Fabricação e refino de açúcar"	"1093 Outros produtos alimentares"	"1100 Fabricação de bebidas"	"1200 Fabricação de produtos do fumo"	"1300 Fabricação de produtos têxteis"	"1400 Confecção de artefatos do vestuário e acessórios"	"1500 Fabricação de calçados e de artefatos de couro"	"1600 Fabricação de produtos da madeira"	"1700 Fabricação de celulose, papel e produtos de papel"	"1800 Impressão e reprodução de gravações"	"1991 Refino de petróleo e coquerias"	"1992 Fabricação de biocombustíveis"	"2091 Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros"	"2092 Fabricação de defensivos, desinfestantes, tintas e químicos diversos"	"2093 Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal"	"2100 Fabricação de produtos farmoquímicos e farmacêuticos"	"2200 Fabricação de produtos de borracha e de material plástico"	"2300 Fabricação de produtos de minerais não-metálicos"	"2491 Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura"	"2492 Metalurgia de metais não-ferosos e a fundição de metais"	"2500 Fabricação de produtos de metal, exceto máquinas e equipamentos"	"2600 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos"	"2700 Fabricação de máquinas e equipamentos elétricos"	"2800 Fabricação de máquinas e equipamentos mecânicos"	"2991 Fabricação de automóveis, caminhões e ônibus, exceto peças"	"2992 Fabricação de peças e acessórios para veículos automotores"	"3000 Fabricação de outros equipamentos de transporte, exceto veículos automotores"	"3180 Fabricação de móveis e de produtos de indústrias diversas"	"3300 Manutenção, reparação e instalação de máquinas e equipamentos"	"3500 Energia elétrica, gás natural e outras utilidades"	"3680 Água, esgoto e gestão de resíduos"	"4180 Construção"	"4580 Comércio por atacado e varejo"	"4900 Transporte terrestre"	"5000 Transporte aquaviário"	"5100 Transporte aéreo"	"5280 Armazenamento, atividades auxiliares dos transportes e correio"	"5500 Alojamento"	"5600 Alimentação"	"5800 Edição e edição integrada à impressão"	"5980 Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem"	"6100 Telecomunicações"	"6280 Desenvolvimento de sistemas e outros serviços de informação"	"6480 Intermediação financeira, seguros e previdência complementar"	"6800 Atividades imobiliárias"	"6980 Atividades jurídicas, contábeis, consultoria e sedes de empresas "	"7180 Serviços de arquitetura, engenharia, testes/análises técnicas e P & D"	"7380 Outras atividades profissionais, científicas e técnicas"	"7700 Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual"	"7880 Outras atividades administrativas e serviços complementares"	"8000 Atividades de vigilância, segurança e investigação"	"8400 Administração pública, defesa e seguridade social"	"8591 Educação pública"	"8592 Educação privada"	"8691 Saúde pública"	"8692 Saúde privada"	"9080 Atividades artísticas, criativas e de espetáculos"	"9480 Organizações associativas e outros serviços pessoais"	"9700 Serviços domésticos"	"Total do produto"	"Exportação de bens e serviços"	"Consumo do governo"	"Consumo das  ISFLSF"	"Consumo  das famílias"	"Formação bruta de capital fixo"	"Variação de estoque"	"Demanda final"	"Demanda total"
"Produtos derivados do trigo, mandioca ou milho"	21966	9	209	0	17	0	3	0	1940	0	4272	1016	0	0	0	0	0	410	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1449	0	0	0	0	2	838	0	0	0	0	0	0	0	3	0	0	0	0	49	36	3	17	14	0	33	0	10563	356	1	0	10148	0	898	11403	21966
"Rações balanceadas para animais"	15401	564	5061	367	0	0	0	0	3883	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	51	40	0	5	1	13	370	0	10621	244	0	0	3767	0	769	4780	15401
"Outros produtos alimentares"	59221	6	56	2	0	0	0	0	1179	0	2346	384	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	117	1	0	0	8	121	1674	0	0	11	0	2	0	10	3	6	0	0	0	466	560	57	806	241	4	26	0	8097	2670	11	0	47458	0	985	51124	59221
"Bebidas"	54276	0	0	0	0	0	0	0	286	0	1	6588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	0	9	0	305	15333	0	0	0	0	103	0	2	0	0	0	1	0	80	60	6	29	115	15	13	0	22965	1603	1	0	28627	0	1080	31311	54276
"Produtos do fumo"	13401	0	0	0	0	0	0	0	0	0	0	0	1278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1278	4754	0	0	7381	0	-12	12123	13401
"Fios e fibras têxteis beneficiadas"	7920	48	3	0	0	0	0	0	0	0	0	0	0	4345	2669	35	0	0	0	0	0	0	0	0	83	48	0	0	0	12	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7298	199	0	0	36	0	387	622	7920
"Tecidos"	13825	169	0	0	79	0	0	1	0	35	52	0	0	1296	7032	1247	0	0	0	0	0	0	8	0	13	11	4	0	0	22	0	2	0	0	1130	41	651	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	19	0	11823	511	0	0	921	0	570	2002	13825
"Art. têxteis de uso doméstico e outros têxteis"	19767	226	5	1	72	61	0	2	0	67	61	0	0	2653	336	594	0	78	0	0	0	0	16	0	1	315	7	0	0	2	0	3	5	5	0	36	223	1	13	7	371	49	23	11	0	0	171	89	0	0	0	0	0	0	0	2	0	0	5	0	27	34	0	19	8	0	273	0	5872	1167	0	0	12408	0	320	13895	19767
"Artigos do vestuário e acessórios"	48119	2	1	12	4	77	0	0	6	0	7	0	0	11	1725	0	0	0	0	0	0	0	6	0	0	0	16	6	0	53	0	2	2	0	0	0	0	1	87	120	34	258	162	8	189	82	78	134	0	103	50	0	647	23	4	134	24	0	118	147	635	630	0	50	25	77	836	0	6586	1124	4	0	40290	0	115	41533	48119
"Calçados e artefatos de couro"	28987	2	1	0	0	3	0	0	4	0	7	0	0	0	0	4472	0	21	0	0	0	0	3	0	0	0	0	0	0	26	0	0	0	2	5	0	10	0	79	0	24	0	0	0	0	0	1	0	0	25	0	2	0	0	0	0	0	0	3	31	15	1	0	0	0	0	0	0	4737	6021	0	0	18378	0	-149	24250	28987
"Produtos de madeira, exclusive móveis"	20625	279	152	8	5	0	0	0	22	0	210	68	0	22	0	0	2679	376	0	0	0	13	32	0	0	0	27	14	0	164	0	2	310	249	64	154	4468	0	292	7	3519	1260	0	0	0	50	0	0	0	140	0	0	0	183	0	0	0	0	59	0	53	15	0	2	0	0	108	0	15006	3363	0	0	1172	73	1011	5619	20625
"Celulose"	10836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2927	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2939	8367	0	0	0	0	-470	7897	10836
"Papel, papelão, embalagens e artefatos de papel"	42909	273	94	15	5	27	55	14	1784	21	2166	167	752	593	421	509	360	5864	1025	88	31	54	148	1094	659	1251	1327	31	13	816	1119	339	142	293	664	58	578	12	38	59	236	3053	118	51	15	165	130	595	662	49	30	108	861	112	674	211	213	179	876	24	602	464	189	86	438	21	306	0	33427	3584	0	0	5903	0	-5	9482	42909
"Serviços de impressão e reprodução"	17866	2	0	3	0	4	10	3	30	14	60	182	0	12	9	5	10	105	1304	3	5	1	14	0	7	18	9	15	2	17	121	12	20	25	16	5	20	0	14	9	24	4241	42	1	32	34	2	32	2021	344	644	776	1444	166	291	182	2260	31	1023	2	904	181	11	60	13	235	392	0	17474	37	0	0	280	0	75	392	17866
"Combustíveis para aviação"	4996	0	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	2031	2553	0	0	139	0	273	2965	4996
"Gasoálcool"	46914	308	333	42	1	24	2	2	265	1	28	64	1	1	0	0	79	16	0	1	0	1	3	0	0	0	2	2	1	3	0	2	6	31	7	2	4	4	18	93	590	1430	855	17	71	58	34	80	34	42	92	72	443	45	313	211	56	243	310	56	981	125	16	50	140	46	94	0	7851	0	0	0	39063	0	0	39063	46914
"Naftas para petroquímica"	5741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1181	0	4312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5493	0	0	0	0	0	248	248	5741
"Óleo combustível  "	12772	37	25	5	263	31	0	146	203	0	135	58	0	30	0	0	15	426	0	135	0	360	70	7	6	23	283	194	928	12	0	6	47	6	3	6	3	4	788	43	469	262	4	217	0	188	0	0	0	0	0	0	0	0	0	3	0	6	7	0	0	0	0	0	0	0	0	0	5454	6701	0	0	0	0	617	7318	12772
"Diesel - biodiesel"	68815	4884	1530	313	397	89	1354	564	901	1030	1532	293	16	122	74	75	36	242	23	10	466	507	188	142	93	383	630	552	107	191	123	159	173	696	148	81	137	112	2074	450	3063	4100	36625	254	37	660	10	3	1	6	2	0	0	2	0	9	1	36	1	126	282	81	39	25	21	22	162	0	66465	0	0	0	2350	0	0	2350	68815
"Outros produtos do refino do petróleo"	93796	444	312	19	10	478	287	75	25	1	316	25	2	52	0	77	0	270	0	67728	0	917	622	199	8	955	1062	558	118	81	1	441	150	123	210	6	43	101	109	102	1543	1797	2277	39	0	57	8	429	0	3	0	0	0	3	0	92	7	52	1	0	337	65	0	13	14	1	42	0	82707	2160	0	0	7085	0	1844	11089	93796
"Etanol e outros biocombustíveis"	33784	59	37	4	3	264	0	0	0	92	28	16	0	0	0	0	0	1	0	11885	171	125	233	690	417	0	0	0	0	17	0	2	1	9	1	0	2	0	4	3	176	137	275	0	0	25	0	2	0	1	0	0	0	0	0	30	7	0	0	26	642	86	0	39	18	0	39	0	15567	1799	0	0	15776	0	642	18217	33784
"Produtos químicos inorgânicos"	20083	1570	488	34	39	583	1	35	1	67	272	77	0	112	0	104	0	1131	6	0	7	6916	1833	520	90	294	777	645	485	217	0	98	21	7	13	132	98	148	74	627	1	152	1	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	3	13	0	160	561	0	100	0	18522	1018	0	0	8	0	535	1561	20083
"Adubos e fertilizantes"	19020	15026	1292	201	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	747	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	17398	480	0	0	0	0	1142	1622	19020
"Produtos químicos orgânicos"	25787	0	1	0	0	400	72	24	84	0	74	7	0	400	47	172	0	402	0	0	385	9851	4398	922	476	773	0	155	74	181	0	27	5	13	0	1	88	0	3	44	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	3	11	0	32	17	0	0	0	19174	5508	0	0	0	0	1105	6613	25787
"Resinas,elastômeros e fibras artif. e sintéticas"	27326	49	4	0	0	485	0	0	1	3	4	0	17	2412	0	611	273	789	25	0	0	1195	1106	519	34	8542	851	1	115	492	105	1833	100	47	956	188	842	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	21607	4530	0	0	0	0	1189	5719	27326
"Defensivos agrícolas e desinfestantes domissanitários"	11717	8085	614	26	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	1010	242	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	20	3	0	330	0	1	1	0	3	0	2	0	0	10376	797	0	0	226	0	318	1341	11717
"Produtos químicos diversos "	17715	0	18	0	1502	162	164	86	495	13	1721	86	7	126	0	72	199	343	209	190	83	490	2101	654	597	782	289	336	32	111	5	79	142	60	14	17	208	142	10	143	426	1067	7	0	0	25	0	0	0	0	1	1	23	15	0	9	10	0	45	1	50	197	0	546	0	11	2	0	14124	2976	0	0	179	0	436	3591	17715
"Tintas, vernizes, esmaltes e lacas"	14527	9	24	2	0	0	0	0	2	0	32	0	0	63	39	75	188	898	755	0	0	0	134	12	1	1092	581	0	0	393	374	23	53	544	221	117	194	392	59	82	4512	847	186	0	0	0	5	0	190	84	0	0	1	500	0	1	1	11	186	0	149	52	0	6	0	4	69	0	13163	407	0	0	150	0	807	1364	14527
"Perfumaria, sabões e artigos de limpeza"	25276	3	17	0	0	45	38	9	32	14	91	17	0	40	26	1	13	27	1	23	1	37	100	699	8	22	42	16	33	294	53	12	27	24	25	4	7	0	10	35	69	1132	173	6	1	60	43	34	10	23	92	6	19	0	130	59	66	56	886	1	153	126	81	43	356	105	507	0	6083	2320	0	0	17024	0	-151	19193	25276
"Produtos farmacêuticos"	41849	343	2373	17	0	42	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	47	0	811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	176	238	45	1974	2329	4	228	0	8744	2292	3634	0	27926	0	-747	33105	41849
"Artigos de borracha"	19959	0	0	0	8	38	275	37	0	0	2	0	0	24	0	256	0	0	0	0	0	0	3	0	1	951	41	159	10	4	0	81	666	4806	1103	439	21	277	0	7	15	456	3026	0	583	0	0	0	0	0	0	0	0	0	0	2	0	144	0	0	1	2	0	7	3	0	6	0	13454	3110	0	0	2338	0	1057	6505	19959
"Artigos de plástico"	51021	329	104	24	93	50	0	0	1435	148	4113	2126	0	60	52	206	117	475	766	56	25	850	477	1116	297	8028	1301	190	0	442	972	1468	723	1845	1782	158	1451	355	88	223	6808	3018	35	0	4	63	5	188	0	0	0	2	23	46	245	7	0	0	251	0	109	116	0	311	188	0	46	0	43410	1880	0	0	3561	0	2170	7611	51021
"Cimento"	13220	35	85	3	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4540	0	0	0	0	0	0	0	0	0	0	0	353	115	7541	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	61	18	0	2	0	0	0	0	13236	18	0	0	0	0	-34	-16	13220
"Artefatos de cimento, gesso e semelhantes"	17309	57	108	5	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	505	436	14645	0	0	0	0	5	0	0	0	0	0	0	0	326	0	0	0	0	0	0	50	4	0	2	0	0	71	0	16253	51	0	0	0	0	1005	1056	17309
"Vidros, cerâmicos e outros prod. de minerais não-metálicos"	32873	1490	997	32	39	19	2	5	1	94	736	1046	0	0	0	0	0	99	0	0	0	238	122	203	32	255	1989	221	4	84	1	217	202	1606	76	99	301	116	81	51	15294	105	0	0	0	0	114	309	0	0	0	0	0	449	0	3	0	0	33	0	211	88	0	87	35	1	35	0	27222	3608	0	0	797	0	1246	5651	32873
"Ferro-gusa e ferroligas"	9793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	3754	716	0	0	0	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4527	5278	0	0	0	0	-12	5266	9793
"Semi-acabacados, laminados planos, longos e tubos de aço"	79180	81	147	6	74	1490	0	49	134	0	31	0	0	0	0	0	0	115	0	0	0	0	0	0	1	640	492	7768	95	15713	40	2809	7483	6511	7779	833	1070	608	130	64	12234	657	24	0	0	4	0	0	0	0	0	9	0	0	0	18	0	115	0	0	117	28	0	4	0	0	0	0	67373	11522	0	0	111	0	174	11807	79180
"Produtos da metalurgia de metais não-ferrosos"	29871	0	0	0	0	0	0	3	161	0	243	0	0	0	0	0	0	154	181	0	0	16	118	0	5	49	49	722	4013	931	101	3561	634	502	2190	575	938	172	11	85	1411	8	10	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	9	2	0	0	0	0	0	0	16873	11832	0	0	200	0	966	12998	29871
"Peças fundidas de aço e de metais não ferrosos"	6312	0	0	0	0	0	0	61	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	148	381	0	0	1056	717	0	2336	21	0	923	0	0	285	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6284	31	0	0	0	0	-3	28	6312
"Produtos de metal, excl. máquinas e equipamentos"	77427	201	324	29	49	1088	492	154	1227	79	1293	2550	23	72	63	47	168	91	21	216	41	310	728	609	100	114	130	2130	116	5591	781	1836	4568	3433	2469	1840	746	1877	1266	603	16431	681	52	1	0	5	31	395	0	6	17	2	0	198	0	21	0	0	111	50	944	58	0	74	0	0	65	0	56617	3761	0	0	7790	6828	2431	20810	77427
"Componentes eletrônicos"	3339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	2545	111	15	7	59	1	6	72	21	0	0	5	0	0	0	27	0	0	0	0	0	54	0	0	0	1	0	0	0	0	15	5	0	1	0	2	16	0	3010	312	0	0	0	0	17	329	3339
"Máquinas para escritório e equip. de informática"	22345	1	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585	0	12	0	1	10	0	54	10	6	0	39	0	0	0	16	1	0	0	134	4	741	150	1	122	134	46	17	171	11	211	430	55	69	35	1	27	0	4122	1221	0	0	7697	9548	-243	18223	22345
"Material eletrônico e equip. de comunicações"	28210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1936	1	0	45	0	4	3	1	0	0	3	10	0	0	2	3	0	0	0	18	32	0	67	0	16	18	0	0	384	12	18	3	1	2	0	9	218	0	2806	2628	0	0	14078	8299	399	25404	28210
"Equip. de medida, teste e controle, ópticos e eletromédicos"	8813	0	0	0	0	131	0	0	11	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	267	8	306	105	2	16	5	105	2	3	278	55	0	0	0	16	0	0	0	2	0	6	0	0	0	494	1	0	0	0	21	44	0	117	61	0	7	0	2069	808	0	0	1958	4033	-55	6744	8813
"Máquinas, aparelhos e materiais elétricos"	40248	27	57	4	15	121	15	8	26	19	42	14	3	35	4	6	15	37	4	3	4	67	15	4	6	45	80	17	50	23	1103	4712	1642	648	881	183	119	1152	2942	158	6394	563	554	12	1	37	17	10	4	45	622	6	19	242	267	25	14	13	310	1	86	50	0	7	2	30	335	0	23972	4836	0	0	1073	9530	837	16276	40248
"Eletrodomésticos"	17240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	681	8	15	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	156	0	871	727	0	0	14587	1001	54	16369	17240
"Tratores e outras máquinas agrícolas"	17751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	0	0	0	0	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1959	1507	0	0	81	14316	-112	15792	17751
"Máquinas para a extração mineral e a construção"	14656	0	0	0	77	1303	630	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	916	0	0	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3682	3980	0	0	0	7112	-118	10974	14656
"Outras máquinas e equipamentos mecânicos"	67585	10	14	5	26	1107	1015	204	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	45	1	0	6	27	34	435	8997	1506	12	218	0	3802	13	53	2636	511	31	92	0	107	4	0	0	0	31	0	3	0	0	3	2	0	753	0	161	10	0	126	0	3	0	0	22035	8545	0	0	2016	34759	230	45550	67585
"Automóveis, camionetas e utilitários"	104421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1084	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	12	0	0	0	0	0	0	0	1169	9620	0	0	55046	34780	3806	103252	104421
"Caminhões e ônibus, incl. cabines, carrocerias e reboques"	50452	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	4134	27	0	0	0	0	0	0	135	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4728	6175	0	0	698	37261	1590	45724	50452
"Peças e acessórios para veículos automotores"	73891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33126	8634	16	0	0	0	0	0	8833	6340	0	0	0	0	0	0	0	0	0	0	0	0	11	0	80	0	0	732	203	0	108	0	0	0	0	58083	11601	0	0	0	0	4207	15808	73891
"Aeronaves, embarcações e outros equipamentos de transporte"	32491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4816	0	162	0	0	0	82	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	1	0	0	0	0	26	0	5943	9772	0	0	8242	6472	2062	26548	32491
"Móveis"	30185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	961	0	0	0	1	53	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	47	0	25	10	8	0	0	1585	1309	0	0	20364	5667	1260	28600	30185
"Produtos de industrias diversas"	21631	2	1	5	0	28	19	2	6	5	9	4	0	7	927	171	4	2	0	3	1	56	27	0	20	1	82	7	1	3	11	2	361	252	22	3	287	62	31	26	424	190	61	60	2	71	3	2	2	36	2	41	122	53	117	196	136	242	94	8	298	490	13	1192	3831	78	58	0	10272	1620	0	0	7461	1532	746	11359	21631
"Manutenção, reparação e instalação de máquinas e equipamentos"	48748	52	23	84	594	1876	933	467	534	488	357	280	13	234	380	114	308	1625	953	456	401	859	513	139	389	362	1707	5622	1257	422	63	345	1097	154	564	256	431	525	1025	669	1517	2964	522	708	441	1801	7	181	669	90	516	382	276	60	542	141	102	536	575	142	643	86	0	638	481	259	372	0	41222	1446	0	0	113	5967	0	7526	48748
"Eletricidade, gás e outras utilidades"	153685	4539	2729	232	532	195	782	272	868	63	1839	488	55	1429	153	209	519	1757	127	85	101	3346	514	150	202	1580	2756	3445	1916	849	125	502	492	495	1191	212	262	120	41564	2190	348	9117	798	30	27	554	641	742	135	227	1154	221	1275	220	489	163	99	73	2709	41	3517	1240	1117	878	873	405	1934	0	107912	593	0	0	45180	0	0	45773	153685
"Água, esgoto, reciclagem e gestão de resíduos"	44089	2	1	1	25	23	90	29	95	46	219	234	1	70	26	21	102	181	10	158	19	323	180	86	44	268	370	2471	998	106	30	45	76	100	198	74	47	17	52	326	230	2251	222	10	7	348	224	538	41	42	36	55	311	158	323	50	22	32	2515	23	6951	952	150	857	957	71	1509	0	26049	0	0	0	18040	0	0	18040	44089
"Edificações"	238028	12	24	2	1	256	180	24	0	0	4	0	0	0	0	0	0	8	0	0	18	49	0	0	0	0	4	19	10	23	43	4	45	220	17	208	8	0	0	0	19019	770	18	5	2	188	151	0	13	190	2	537	267	327	33	109	0	115	1097	0	2120	551	252	894	0	6	269	0	28114	241	0	0	0	209673	0	209914	238028
"Obras de infra-estrutura"	125871	0	0	0	0	1497	741	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	35	0	0	0	0	0	0	0	0	0	0	3725	8938	0	281	0	0	217	0	0	0	0	769	0	0	0	0	0	0	0	0	0	5777	46	0	21	0	0	95	0	22320	0	0	0	0	103551	0	103551	125871
"Serviços especializados para construção"	90730	35	89	4	3	171	7	76	0	4	1	0	0	24	0	0	0	7	15	12	0	0	2	0	0	0	15	14	864	12	0	8	19	0	7	0	3	0	0	0	15919	34	5	0	0	392	25	188	0	0	2587	0	742	712	102	371	3	2	427	5	1047	128	0	1059	0	43	6	0	25189	1896	0	0	0	63645	0	65541	90730
"Comércio por atacado e varejo"	612197	6752	4788	415	553	1824	1669	498	10021	892	13349	2646	633	2692	3565	2150	1445	4972	1139	1439	611	5061	3510	1835	2460	5494	4617	5623	3976	4369	4727	5266	9542	11134	5954	2559	4404	3212	1652	1074	19705	14366	11407	191	393	577	307	6753	1451	656	3000	700	1577	720	969	877	1823	883	1743	191	3744	2470	658	3586	7263	287	1510	0	236329	9407	2204	0	313077	51180	0	375868	612197
"Transporte terrestre de carga"	142453	3344	1664	403	582	2400	1560	366	6438	2712	11799	2428	166	1134	803	877	432	2094	275	1780	1063	3527	1616	1123	1585	2064	2226	5468	1118	1998	1408	1370	1770	3926	1617	674	1101	352	1509	309	4093	19144	20279	108	173	2565	142	2357	396	106	179	118	430	85	332	227	103	222	254	59	1035	404	36	489	464	50	368	0	131299	1160	40	0	6643	3311	0	11154	142453
"Transporte terrestre de passageiros"	61597	4	2	19	10	214	207	67	37	38	101	13	0	2	92	6	330	1	0	0	34	106	114	9	66	117	202	61	11	216	3	42	381	0	225	2	9	34	0	8	54	35	96	0	0	32	13	36	0	72	11	100	148	16	6	419	23	12	141	17	963	771	543	339	0	4	1628	0	8262	242	0	0	53093	0	0	53335	61597
"Transporte aquaviário"	14619	6	6	0	3	2491	0	9	498	61	286	10	1	14	12	4	75	588	16	540	4	452	23	25	3	31	73	278	92	29	58	29	143	132	53	80	1	5	10	1	30	406	340	609	6	29	0	27	1	3	0	7	1	0	2	2	4	2	110	1	11	0	0	1	0	1	2	0	7737	6065	0	0	807	10	0	6882	14619
"Transporte aéreo"	24631	1	0	2	5	785	6	16	117	6	115	28	21	26	22	33	22	54	19	21	3	139	140	7	68	25	67	66	9	29	196	98	128	173	79	23	25	29	214	29	866	1438	132	58	8	409	33	25	17	94	115	276	1390	26	413	181	283	40	187	13	701	158	940	174	0	46	5948	0	16817	3523	0	0	4291	0	0	7814	24631
"Armazenamento e serviços auxiliares aos transportes"	52456	507	37	46	17	1101	1098	248	1217	1144	1713	1205	22	92	4	45	96	566	111	369	399	515	251	230	300	111	141	1873	82	504	456	571	203	2570	380	174	104	79	39	8	174	4186	4615	1323	2028	1373	2	20	18	31	76	11	106	1	40	53	125	18	81	19	1489	71	0	88	0	2	902	0	35480	4334	0	0	12642	0	0	16976	52456
